Name of Company or Organization,Date of Notification,Date of the Breach,IN Affected,Total Affected
"Porter & Curtis, LLC",1/29/2021,2/12/2020,279,10994
City of Philadelphia,2/4/2021,3/11/2020,22,18008
US Claims Capital LLC,2/5/2021,10/23/2020,49,5679
"Koch Industries, Inc",2/8/2021,1/8/2021,1,1705
"Simms Fishing Products, LLC",2/5/2021,10/29/2020,21,2976
"Great Clips, Inc",2/3/2021,1/27/2021,4,272
"The Honey Baked Ham Company, LLC",1/29/2021,12/13/2020,393,141837
KeyBank NA,2/5/2021,12/5/2020,36,278
Syracuse University,2/5/2021,9/24/2020,11,9797
Matter: Name,Notific Sent,Breach Occ,IN Affected,Total Affected
Tom Wood Inc,2/5/2021,10/5/2020,11581,15025
"Sunrise Global Marketing LLC dba
Greenworks Tools",2/5/2021,9/3/2020,3,97
The Bostwick‐Braun Company,2/5/2021,9/4/2020,187,764
Gore Medical Management LLC,2/8/2021,6/21/2017,4,79105
Mortgage Bankers Association,2/8/2021,8/4/2020,7,771
T‐Mobile,2/9/2021,1/18/2021,6,421
Great Northern Corporation,2/9/2021,8/26/2020,13,5097
"Westlake Hardware, Inc",2/10/2021,8/21/2020,7,18170
"The Northwestern Mutual Life Insurance
Company",1/22/2021,12/17/2020,1,1
Laurel School,2/10/2021,5/1/2020,1,795
"Setuno, Inc d/b/a Shopping Cart Elite",2/10/2021,5/4/2020,23,1678
"The Lincoln National Life Insurance
Company",2/10/2021,1/13/2021,1,1
"Norwood School, Inc.",2/11/2021,5/20/2020,2,827
Schultz & Pogue LLP,2/11/2021,9/17/2020,60,72
"Citywide Home Loans, LLC",2/12/2021,11/18/2020,289,220275
"JMA Energy Company, LLC",1/25/2021,12/15/2020,23,11175
Elwyn,2/11/2021,10/9/2019,2,42297
"Rakuten USA, Inc DBA Rakuten Americas",2/4/2021,1/21/2021,14,5390
Berwick Academy,2/10/2021,2/7/2020,2,2569
FirstBank,2/11/2021,8/12/2020,3,2267
Grand River Medical Group PC,2/8/2021,10/19/2020,20,37858
Fort Hays State University Foundation,2/12/2021,2/7/2020,3,796
Greater Des Moines Botanical Garden,11/13/2020,5/20/2020,1,469
The National World War II Museum,2/12/2021,5/20/2020,3,1128
"Enlivant Master Mgmt CO., LLC",1/29/2021,9/29/2020,2,536
Walgreen Co,2/12/2021,10/21/2020,2,30
Vitamin Portfolio,2/10/2021,7/18/2019,186,14412
Craig Hospital Foundation,2/15/2021,4/18/2020,2,1406
Matter: Name,Notific Sent,Breach Occ,IN Affected,Total Affected
Cintas Corporation,2/15/2021,9/16/2020,5,914
Roanoke College,2/16/2021,12/4/2020,4,52
Trinity Christian College,2/17/2021,2/7/2020,20,788
UnitedHealthcare,2/18/2021,1/27/2021,363,624
"Aspen Dental Management, Inc",2/11/2021,1/20/2021,1,41
"John Michael Kohler Arts Center, Inc",2/18/2021,8/11/2020,4,433
Rutgers Preparatory School,2/18/2021,2/7/2020,1,3340
Kemper CPA Group LLP,2/18/2021,12/17/2020,19,655
"City Of Ellensburg, Washington",2/10/2021,12/20/2020,6,9091
"Godels & Solomon, LLC",2/19/2021,1/21/2021,1,761
"Dawson James Securities, Inc",2/19/2021,,58,6388
Shook Construction Co,2/18/2021,9/2/2020,613,3193
"SESAC Rights Management, Inc",2/19/2021,1/31/2021,2,73
"United Food and Commercial Workers
Union Local 881 AFL‐CIO",2/19/2021,11/6/2020,119,45319
Franciscan Physician Network,2/15/2021,1/25/2021,1,1
Franciscan Alliance Inc,2/12/2021,7/15/2020,17,20
Wessels Company,2/19/2021,11/13/2020,149,158
The Kroger Co and its affiliated Companies,2/19/2021,12/24/2020,208100,1040000
Schlage Lock Company LLC,2/19/2021,1/21/2021,1,1
E & J Gallo Winery,2/19/2021,11/7/2020,66,19176
"Caring Communities Shared Services, Ltd",2/18/2021,11/24/2020,3,121
Associated Eye Care,2/16/2021,11/24/2020,1,356
Harris Altman PC,2/19/2021,1/1/2021,3,2259
ITOCHU Chemicals American Inc,2/22/2021,8/27/2020,5,74
Hussung Mechanical Contractors,2/22/2021,7/13/2020,6,42
Colonial Park Realty Co t/a Enders,2/22/2021,4/13/2020,3,839
"ASAP Ministries, Inc",2/18/2021,4/18/2020,1,207
Franciscan Health Indianapolis,2/22/2021,8/24/2020,10,11
Liberty Healthcare Corporation,2/23/2021,,1,42
Matter: Name,Notific Sent,Breach Occ,IN Affected,Total Affected
Worldwide Facilities LLC,2/19/2021,1/26/2021,13,2068
"M & R Electronic Systems, Inc",2/22/2021,10/1/2020,1,98
"Sea Island Acquisition, LLC",2/10/2021,1/21/2021,1,19
Principal Life Insurance Company,2/24/2021,2/5/2021,1,867
"Franciscan ACO, Inc",3/22/2021,12/31/2020,436,439
"Midland Credit Management, Inc",2/17/2021,,5,231
Lyons & Pinner Electric Companies,2/23/2021,2/4/2021,1,50
"Jacuzzi, Inc",2/23/2021,12/15/2020,16,5684
Humana Inc,2/25/2021,10/12/2020,1582,63307
Coffeyville Unified School District 445,2/24/2021,7/24/2020,1,2720
North Dakota State University Foundation,2/19/2021,12/4/2020,1,83
"Aduro, LLC",2/24/2021,12/21/2020,10,1800
Down Home Ranch,2/18/2021,9/10/2020,1,309
"Royal Cup, Inc",2/24/2021,,8,1493
Quicken Inc,2/19/2021,2/5/2021,9,540
Woodstream Corporation,2/24/2021,7/17/2020,2,1875
Robert Schechter & Associates,2/23/2021,6/15/2020,1,495
"Ascentium Inc. and Ascentium Corp
(SMITH)",2/3/2021,12/24/2020,1,1400
Root Insurance Company,2/25/2021,1/19/2021,719,73238
Gant Travel LTD,2/25/2021,9/29/2020,17,27
"Newberry Farms, LLC",2/26/2021,12/23/2020,32,225
"Nagel & Padilla, LLC",2/24/2021,9/10/2020,1,667
International Medical Corps,2/26/2021,2/7/2020,26,7543
"Summit Behavioral Healthcare, LLC",2/26/2021,5/12/2020,35,70822
The Hanover Insurance Company,2/26/2021,7/8/2020,33,18423
"BSN Sports, LLC",2/26/2021,4/24/2019,511,23834
"Roman Catholic Diocese of Lafayette‐in‐
Indiana",2/25/2021,2/20/2020,112,408
Fairfax County Public Schools,1/21/2021,8/21/2020,134,172128
Matter: Name,Notific Sent,Breach Occ,IN Affected,Total Affected
"Aero Charter, Inc",3/1/2021,12/6/2020,1,100
"Casemaker, LLC and Lawriter, LLC",2/26/2021,7/15/2020,6,6898
UPM Pharmaceuticals Inc,3/1/2021,1/28/2021,1,51
Team One Adjusting Services,2/19/2021,1/24/2021,19,1352
Sentry Insurance,3/5/2021,10/14/2020,29,3146
Hammond School,3/2/2021,,2,
Miller's Insurance Agency,3/2/2021,10/15/2020,1,643
"Strat‐O‐Matic Media, LLC",3/2/2021,1/5/2021,72,3615
"CertifiedSafety, Inc",2/25/2021,6/9/2020,2,4668
"AllyAlign Health, Inc",2/26/2021,11/13/2020,39,76348
Hurtigruten,3/1/2021,12/14/2020,48,4017
Integon National Insurance Company,3/2/2021,8/10/2020,316,208000
Cardinal Logistics Management Corp,3/2/2021,10/20/2020,180,24640
Western Overseas Corporation,3/5/2021,9/22/2020,1,429
"Tabula Rasa Healthcare, Inc on behalf of
Reid Health",3/22/2021,12/31/2020,1,1
"Harry Norman, Realtors",3/3/2021,11/4/2020,2,6021
Lake Forest College,3/3/2021,10/5/2020,29,3977
GR Energy Services,3/3/2021,12/1/2020,2,2141
"Blackhawk Mining, LLC",3/3/2021,1/28/2021,598,12442
Aflac Incorporated,3/1/2021,1/29/2021,7,2635
"Creative Works, Inc",3/4/2021,2/19/2021,1,6
SCI Shared Resources LLC,3/4/2021,1/28/2021,51,1107
Americold Realty Trust,3/4/2021,10/29/2020,8364,141351
"Franciscan Alliance, Inc",3/1/2021,2/1/2020,13,17
Pierce College,3/4/2021,2/7/2020,1,378
Reliance Standard Life Insurance Company,3/5/2021,1/25/2021,18,
"The American Armed Forces Mutual Aid
Association",3/5/2021,1/28/2021,1657,161621
EmployIndy,3/5/2021,3/3/2021,1,1
Matter: Name,Notific Sent,Breach Occ,IN Affected,Total Affected
Family & Social Services Administration,3/15/2021,12/30/2020,1,1
Zumiez Canada Holdings,3/5/2021,8/16/2020,4,357
"Hartford Life and Accident Insurance
Company",3/10/2021,8/21/2020,11,94
"Holliday Ingram, LLC",3/2/2021,6/3/2020,2,1936
"Family Health Servcies MN dba Entira
Family Clinics",3/2/2021,12/4/2020,2,
TractManager Holdings LLC,3/5/2021,9/11/2020,4,353
"Fidelitone, Inc",3/5/2021,7/24/2020,23,2042
Morris 4X4,3/5/2021,10/16/2020,10,538
Metromile Insurance Company,3/5/2021,12/1/2020,256,120000
The Hartford Fire Insurance Company,3/8/2021,12/1/2020,123,39307
Xavier High School,3/8/2021,2/7/2020,4,7639
Wolverine Mutual Insurance Company,3/6/2021,11/10/2020,27,1195
"Hidden Mountain Resort, Inc",3/3/2021,1/25/2021,16,220
"PEI Genesis, Inc",3/8/2021,6/23/2020,2,1427
"Blueknight Energy Partners, L.P",2/12/2021,1/12/2021,1,1570
"The Galloway Schools, Inc",3/9/2021,5/14/2020,4,1532
"Island Hotel Company Limited dba Atlantis
Paradise Island",3/8/2021,10/17/2020,135,16945
"OmniTRAX, Inc",2/12/2021,10/6/2020,60,5983
"The New London Hospital Association, Inc",3/9/2021,7/30/2020,19,34878
Woodruff Sawyer & Co,3/9/2021,3/2/2020,1,8725
The Meantime Coffee Company,3/5/2021,1/23/2021,1,32
Water Street Mission,3/3/2021,5/1/2020,1,195
Museum of the American Revolution,3/10/2021,9/22/2020,5,1436
Reynolds Farm Equipment,3/10/2021,11/7/2020,1085,1194
"CoastAlaska, Inc and KTOO public Radio",3/9/2021,7/1/2014,2,255
My Community Credit Union,3/8/2021,2/20/2020,33,76107
"Signify Health, LLC",3/11/2021,10/12/2020,25,1419
Matter: Name,Notific Sent,Breach Occ,IN Affected,Total Affected
Norwich University,3/10/2021,2/7/2020,1,569
Northern Jet Management,3/11/2021,12/6/2020,4,57
"Assistcare Home Health Services LLC
Preferred Home Care of New York",3/10/2021,1/8/2021,2,92283
"Kitestring Consulting, Inc",3/11/2021,1/29/2021,1,534
"Applied Consultants, Inc and Cleveland
Integrity Systems, Inc",3/11/2021,12/28/2020,54,11484
Perkins & Co,3/11/2021,11/8/2020,8,8440
Glaukos Corp,3/12/2021,9/14/2020,8,905
Northeast Mississippi Community College,3/12/2021,9/13/2020,1,1202
Transform SR Holding Management LLC,3/12/2021,5/20/2020,2,149
"City of Bristol, Virginia",2/25/2021,1/1/2021,1,317
Alameda‐Contra Costa Transit District,3/11/2021,4/7/2020,3,38234
"Flagstar Bank, FSB",3/15/2021,1/20/2021,30506,1465002
"Quality CPR Care LLC dba American CPR
Care Association",3/15/2021,6/1/2020,207,13689
IntelliSource,3/15/2021,10/1/2020,17,4030
"CPR AED Course LLC dba American Health
Care Academy",3/15/2021,6/1/2020,635,35504
"Gonzales Park, LLC",3/16/2021,1/31/2021,20,1334
One Source Freight Solutions,3/8/2021,5/1/2020,2,316
Infinity Insurance Company,3/16/2021,12/14/2020,714,5724732
"Automation Personnel Services, Inc",3/16/2021,11/17/2020,148,299251
"CSX Transportation, Inc",3/16/2021,12/25/2020,293,12867
"New Enterprise Stone & Lime Co., Inc",3/16/2021,6/15/2020,1,263
Automatic Funds Transfer Services Inc,3/18/2021,2/1/2021,32,2064
The Baltimore Museum of Art,3/17/2021,3/17/2020,1,536
Security Industry Specialists,3/11/2021,5/23/2020,30,36762
"Western Union Financial Services, Inc",3/17/2021,12/24/2020,29,15203
"Labor Finders International, Inc",3/22/2021,8/9/2020,3,1897
PCS Revenue Control Systems,3/18/2021,5/19/2017,9450,867209
Matter: Name,Notific Sent,Breach Occ,IN Affected,Total Affected
"The Sewell Family of Companies, Inc",3/17/2021,8/1/2020,1,5118
"Pan‐American Life Insurance Group, Inc",3/11/2021,2/16/2021,1396,78874
"Indiana Department of Workforce
Development",4/15/2021,7/29/2020,20,21
Kentucky Wesleyan College,3/22/2021,9/22/2020,2592,31796
"SunMed Group Holdings, LLC",3/18/2021,8/30/2020,5,2113
Manson Construction Co,3/18/2021,5/24/2020,13,5127
Corradino LLC,3/17/2021,1/22/2021,59,430
"LI‐COR, Inc",3/19/2021,2/16/2021,1,1622
"CareSource, Inc",3/22/2021,1/14/2021,1,17
The SurgiCare Center of Utah,3/16/2021,12/21/2020,2,8816
Connor Group,3/19/2021,8/2/2020,8,18424
L. B. Foster Company,3/22/2021,9/30/2020,10,1863
"Veriha Trucking, Inc",3/22/2021,1/29/2021,74,1538
El Paso Electric Company,3/22/2021,12/22/2020,3,6067
"Evening Telegram Company dba Morgan
Murphy Media",3/22/2021,12/29/2020,2,1275
Chapman University,3/10/2021,2/10/2021,5,297
Millbrook School,3/22/2021,4/18/2020,1,484
"Underwriters Laboratories Inc., UL Inc., et
al",3/23/2021,10/17/2020,8,1009
Sher Tremonte,3/22/2021,1/29/2020,1,490
"Hagerty Insurance Agency, LLC",4/9/2021,2/2/2021,323,149760
Haven Behavioral Healthcare,3/23/2021,9/24/2020,23,21714
MTS Systems Corporation,3/23/2021,10/28/2020,8,2604
"Tower Hill Insurance Group, LLC",3/24/2021,11/20/2020,38,3503
"The Lincoln National Life Insurance
Company",3/23/2021,3/1/2021,1,5
Grieco & Adelman LLC,3/24/2021,12/15/2020,3,161
Inter‐state Studio & Publishing Co,3/24/2021,11/13/2020,612,7942
"TradeSource, Inc",3/22/2021,12/27/2020,15,35070
Matter: Name,Notific Sent,Breach Occ,IN Affected,Total Affected
National Wildlife Foundation,3/24/2021,2/6/2019,2004,95251
Miller's Ale House,3/25/2021,12/23/2020,7,8257
"Capcom U.S.A., Inc",3/23/2021,10/1/2020,4,3891
"Wehr Constructors, Inc",3/25/2021,10/24/2020,5,79
"Intradeco Holdings, Inc. dba Headsweats",3/26/2021,10/10/2020,2,196
Cinch Home Services,3/26/2021,11/1/2020,1,47
"Marmon Holdings, Inc",3/24/2021,12/6/2020,5,166
FirstBank,3/26/2021,11/3/2020,7,12366
Elizabeth City State University,3/26/2021,8/27/2020,86,29127
"Chicago Title Co., LLC",3/25/2021,2/26/2021,2,2
Santa Catalina School,3/26/2021,2/7/2020,2,1333
"Stock MFG Design Co., Inc",3/25/2021,3/22/2021,30,140
"Catholic Health Association of the United
States",3/26/2021,3/10/2020,3,27
Elephant Insurance Services LLC,3/26/2021,1/1/2021,14,698
Premier Tech Limited,3/26/2021,1/13/2021,6,3634
"Active Lifestyle Products & Services, Inc
dba ALPS Brands",3/26/2021,4/20/2020,240,10788
"Nationstar Mortgage LLC dba Champion
Mortgage Company dba Mr. Cooper",3/19/2021,1/6/2021,4,596
"Celebrity Home Loans, LLC",3/29/2021,1/12/2021,21,568
"Suburban Collection Holdings, LLC",3/23/2021,7/7/2020,50,25281
Curlew Hills Memory Gardens,3/30/2021,3/4/2021,10,2267
Capital One,3/19/2021,8/6/2020,2,3740
The College of Health Care Professions,3/26/2021,3/5/2020,20,34838
"Personal Touch Holding Corp., and on
behalf of its direct/indirect subsidiaries",3/24/2021,1/20/2021,6928,753107
"safeXai, Inc",3/24/2021,2/26/2020,1,411
"CBIZ Accounting, Tax & Advisory of Utah,
LLC",3/30/2021,12/30/2020,1,841
"Holmes Murphy and Associates, LLC",3/30/2021,11/11/2020,2,2272
Matter: Name,Notific Sent,Breach Occ,IN Affected,Total Affected
The Hartford Fire Insurance Company,4/1/2021,2/7/2021,6,2362
"AmeriGas Propane, LP",3/15/2021,12/28/2020,4,152
The Walman Optical Company,3/19/2021,8/21/2020,288,5282
Christendom College,3/31/2021,2/7/2020,20,1062
Capital One,3/30/2021,11/10/2020,7,426
Abilene Christian University,3/31/2021,3/1/2021,1,132
T‐Mobile,3/31/2021,2/20/2021,1,65
Med‐Data Incorporated,3/31/2021,,1258,135908
Charles Stewart Mott Community College,4/1/2021,11/27/2020,117,60383
Nachi America Inc,3/30/2021,3/17/2021,168,300
Benetech Inc,4/1/2021,3/2/2021,13,371
"Jounce Therapeutics, Inc",4/2/2021,2/17/2021,2,329
Affton School District,4/1/2021,2/25/2021,4,1183
"Cardiva Medical, Inc",4/2/2021,3/15/2021,5,637
"Don Roberto Jewelers, Inc",3/31/2021,2/16/2021,69,197187
PKF O'Connor Davies,12/24/2020,11/8/2020,14,995
"Crestline Hotels & Resorts, LLC",4/2/2021,5/25/2020,302,14718
Shoott,4/1/2021,3/1/2021,5,311
"Liberty Mutual Group, Inc",4/6/2021,11/21/2020,222,66438
Bricker & Eckler LLP,4/6/2021,1/14/2021,10295,430185
Blaine Brothers Inc,4/2/2021,9/18/2020,1,110
Slate & Tell LLC,4/2/2021,3/1/2020,985,31744
"Montana Technological University
Foundation",4/2/2021,5/14/2020,7,228
"Trusted Health Plans, Inc",4/7/2021,1/25/2021,17,211000
"M. J. Engineering and Land Surveying, P.C.",4/2/2021,1/3/2021,1,430
Higher Education Servicing Corporation,4/5/2021,10/25/2020,123,23793
Chadron State Foundation,4/6/2021,2/7/2020,33,11460
"ServiceLink, LLC",4/5/2021,3/23/2021,1,1
"Hispanic Association of Colleges and
Universities",4/6/2021,2/7/2020,4,1284
Matter: Name,Notific Sent,Breach Occ,IN Affected,Total Affected
Lincoln Property Company,4/6/2021,11/17/2020,1,496
"Minnetonka Moccasin Company, Inc",4/6/2021,11/25/2020,783,38433
"Marines' Memorial Association &
Foundation",4/6/2021,5/20/2020,14,9538
Simms Fishing,4/6/2021,2/26/2021,5,
American Society for Clinical Pathology,4/1/2021,3/30/2020,595,29526
The Law Offices of Joseph L Bomstein,4/7/2021,11/3/2020,1,1100
"Atlantic Media, Inc",4/7/2021,2/25/2021,25,24
Byrne Insurance Group,4/7/2021,10/6/2020,76,1548
"Todd & Sargent, Inc",4/7/2021,12/7/2020,13,3034
"MailMyPrescriptions.com Pharmacy
Corporation",4/8/2021,2/3/2020,566,24037
Neighborhood Healthcare,4/8/2021,11/24/2020,7,45200
"Natural Retreats Management, LLC",4/9/2021,9/30/2020,3,1248
Fairway Independent Mortgage Corp,4/1/2021,8/24/2020,31,5906
Schnabel Foundation Company,4/9/2021,9/25/2020,7,370
Hamilton Beach Brands,4/9/2021,12/18/2020,130,6262
"On Q Financial, Inc",4/18/2021,2/22/2021,222,191628
Yeshiva University,4/12/2021,12/21/2020,2,3380
"Consolidated Electrical Distributors, Inc",4/12/2021,11/10/2020,32,138
Cuyahoga Metropolitan Housing Authority,4/9/2021,2/10/2021,104,189008
Washington Education Association,4/12/2021,1/4/2021,11,18531
Ag Solutions IT LLC,4/12/2021,1/11/2021,22,27708
Iscential Inc,4/12/2021,11/16/2020,3,956
"VEP Healthcare, Inc",4/9/2021,11/15/2019,2,1601
"Cumberland Products Group, LLC dba
American OEM Wood Floors",4/13/2021,9/7/2020,10,62
"Government Employees Insurance
Company",4/9/2021,1/27/2021,188,131913
Dritsas Groom Mc Cormick LLP,4/14/2021,10/21/2020,8,1242
Matter: Name,Notific Sent,Breach Occ,IN Affected,Total Affected
"Audacy, Inc",4/14/2021,10/16/2020,2,177
"APC Workforce Solutions, LLC",2/23/2021,12/21/2020,34,6768
"Schiller DuCanto & Fleck, LLP",4/13/2021,2/26/2021,4,529
Butler County Sheriff's Office,4/15/2021,12/21/2020,12,413
"CJ Drilling, Inc",4/15/2021,3/3/2021,4,66
Resort Lifestyle Communities,4/15/2021,2/4/2021,25,14700
OhioGuidestone,4/12/2021,12/4/2020,1,3615
"Lutheran High School Association of Nassau
& Suffolk Counties",4/15/2021,5/1/2020,1,2537
"FPI Management, Inc",4/15/2021,8/6/2020,13,21417
"McDougall & Sons, Inc",4/13/2021,1/10/2021,2,6263
Kohler Hospitality,4/15/2021,1/21/2021,30,2555
"Amerifirst Financial, Inc",4/14/2021,12/2/2020,118,103607
"Diamatrix, Inc",4/15/2021,10/28/2020,2,605
"Gordon Howard Associates Inc dba
PassTime, Inc",4/16/2021,12/20/2020,4,238
Fort Hays State University Foundation,4/16/2021,2/7/2020,196,53650
"Lifetime Brands, Inc",4/16/2021,2/9/2021,1,1386
Michigan Fitness Foundation,4/16/2021,12/2/2020,21,1310
Pathfinder LLD Insurance Group LLC,4/16/2021,7/13/2020,1,3575
"Cascade Engineering, Inc",4/16/2021,1/28/2021,45,2723
"JLA Professional Services, LLC",4/16/2021,1/7/2021,1,507
"OK Foods, Inc",4/15/2021,4/22/2020,48,34654
Timber Creek,4/15/2021,,3,
"Teachers Retirement System of the State of
Illinois",4/19/2021,8/14/2020,39,3391
Zwanenberg Food Group,4/19/2021,1/9/2021,13,1037
"Children's Bureau, Inc",4/19/2021,1/24/2021,22,22
"iHerb, LLC",4/19/2021,10/19/2020,2,46
Blade HQ,4/21/2021,1/7/2021,2158,90000
Sauder Manufacturing Co,4/20/2021,1/12/2021,2,501
Matter: Name,Notific Sent,Breach Occ,IN Affected,Total Affected
On Q Financial,4/19/2021,2/22/2021,222,191628
"TaxHawk, Inc",4/16/2021,2/16/2021,1,2395
"Cobb Office Products dba Cobb
Technologies",4/20/2021,12/12/2020,1,913
First Western Federal Savings Bank,4/21/2021,11/4/2020,3,192
"Triad Technologies, LLC",4/23/2021,1/22/2021,14,286
"The MCS Group, Inc",4/21/2021,12/25/2020,7,181
Educational Service Center Region 20,4/21/2021,10/23/2020,1,639
"Health Center Partners of Southern
California",4/8/2021,10/22/2020,72,
MoneyLine Lending,4/22/2021,10/31/2018,3,2287
Pediatric Associates of Milwaukee,4/22/2021,2/17/2021,1,8160
Capital One,4/20/2021,9/2/2019,3,219
Cayan LLC,4/22/2021,10/29/2020,27,1941
Fidelity Workplace Services LLC,4/21/2021,2/4/2021,1,1
"Flex|N|Gate, LLC",4/16/2021,8/30/2020,18,430
"Veada Industries, Inc",4/23/2021,11/1/2019,31,804
All Spectrum Insurance Brokers,4/22/2021,10/29/2020,2,966
Gyrodata,4/22/2021,1/16/2021,3,2064
Merrick & Company,4/22/2021,12/16/2020,1,3240
Trueblaze Advisors,3/18/2021,12/22/2020,9,49
Douglas Elliman Property Management,4/23/2021,4/5/2021,2,29295
Perkins & Co,4/23/2021,11/8/2020,680,53768
"Sizzling Platter, LLC",4/23/2021,11/11/2020,6,13747
"Foodland Super Market, Limited; Kalama
Beach Corporation; Food Pantry, Ltd.",4/23/2021,3/17/2021,5,39630
Veris Wealth Partners,4/23/2021,12/30/2020,2,365
"Allergy Partners, PLLC",4/23/2021,1/12/2021,201,3760
"Center Township of Marion County,
Indiana",4/23/2021,1/28/2021,96,96
AmeriCommerce by Cart.com,4/23/2021,3/25/2021,71,3581
