BUSINESS NAME,START OF BREACH,END OF BREACH,DATE REPORTED,MONTANANS AFFECTED
Staminus Communications,3/10/2016,3/10/2016,04/15/2016,12
Whiting-Turner Contracting Company,3/08/2016,3/08/2016,4/06/2016,2
Medical Colleagues of Texas,3/08/2016,3/08/2016,5/11/2016,20
Southcentral Foundation (SCF),3/08/2016,4/04/2016,06/17/2016,1
"Wild, Maney & Resnick",3/08/2016,3/08/2017,4/21/2017,5
Golf & Ski,3/08/2016,4/13/2017,7/07/2017,12
Advance Auto Parts,3/07/2016,3/07/2016,03/17/2016,376
Numerex Corp.,3/04/2016,3/04/2016,3/04/2016,3
Academy of Art University,3/04/2016,3/04/2016,04/13/2016,3
SCAN Health Plan,3/04/2016,06/24/2016,08/22/2016,6
"ISCO Industries, Inc.",3/03/2016,3/03/2016,3/04/2016,1
Intuit (6),3/03/2016,3/03/2016,03/16/2016,3
Turner Construction Company,3/02/2016,3/02/2016,3/08/2016,1
Maxim Crane Works,3/02/2016,3/02/2016,3/11/2016,1
"Fish, Wildlife and Parks",3/02/2016,3/02/2016,4/01/2016,2
Kantar Group,3/01/2016,3/01/2016,03/21/2016,4
Prime Therapeutics,3/01/2016,03/31/2016,04/13/2016,1
"doTERRA International, LLC",3/01/2016,03/31/2016,04/18/2016,"18,304"
"Maritz Holdings, Inc.",3/01/2016,4/07/2016,05/23/2016,5
"CiCi Enterprises, LP",3/01/2016,07/19/2016,07/19/2016,Unknown
Land Title,3/01/2016,05/31/2016,2/07/2017,1
Seagate US LLC,02/29/2016,02/29/2016,3/09/2016,1
Engineering Solutions & Products,02/29/2016,02/29/2016,03/14/2016,1
GoldKey|PHR,02/29/2016,02/29/2016,04/15/2016,1
Evening Post Industries,02/26/2016,02/27/2016,02/27/2016,314
Triple-i,02/26/2016,02/26/2016,3/03/2016,1
"AmeriPride Services, Inc.",02/25/2016,02/25/2016,02/26/2016,1
Road and Highway Builders (Sterling Construction),02/25/2016,02/25/2016,03/21/2016,1
EqualizeRCM Systems (ERCM),02/25/2016,02/26/2016,04/28/2016,3
GCI,02/24/2016,02/24/2016,3/07/2016,4
eClinical Works,02/22/2016,02/22/2016,3/07/2016,3
Stamford Podiatry Group,02/22/2016,04/14/2016,05/24/2016,1
Applied Systems,02/19/2016,02/19/2016,3/07/2016,1
Mann Mortgage,02/19/2016,02/19/2016,03/25/2016,"3,098"
MKK Consulting Engineers,02/19/2016,4/06/2016,5/11/2016,10
Kimpton Hotels & Restaurants,02/16/2016,7/07/2016,08/31/2016,276
Atlanta Falcons Football Club,02/16/2016,08/20/2016,10/17/2016,1
"Wal-Mart Stores, Inc.",02/15/2016,02/18/2016,3/01/2016,29
1-800 Flowers,02/15/2016,02/17/2016,3/08/2016,5
Next Generation Tax and Accounting,02/15/2016,02/27/2016,4/06/2016,2
O'Reilly School of Technology (O'Reilly Media Group),2/11/2016,2/11/2016,4/01/2016,3
SwervePoint,2/10/2016,6/02/2016,11/29/2016,4
Intuit (5),2/09/2016,02/18/2016,3/08/2016,2
Block and Company (MMF Industries),2/09/2016,3/01/2016,03/31/2016,4
Group Benefit Services (GBS),2/08/2016,2/08/2016,5/09/2016,1
Patterson Dental Supply (Massachusetts General Hospital),2/08/2016,2/08/2016,06/29/2016,1
GlaxoSmithKline (GSK),2/07/2016,03/13/2016,03/25/2016,4
Northern State Bank,2/06/2016,2/08/2016,02/25/2016,15
Northern State Bank (supplemental),2/06/2016,3/08/2016,03/17/2016,6
"Polycom, Inc.",2/05/2016,2/06/2016,2/12/2016,1
"Tetra Technologies, Inc.",2/04/2016,2/04/2016,02/16/2016,10
Intuit (4),2/04/2016,2/04/2016,3/02/2016,1
ProSchools,2/04/2016,03/16/2016,04/22/2016,25
Matrix Service Company,2/03/2016,2/03/2016,3/11/2016,4
GlassWasherParts.com,2/02/2016,12/31/2016,4/05/2017,12
Tempur-Pedic,2/02/2016,12/31/2016,4/05/2017,887
Sirius XM Satellite Radio,2/01/2016,2/01/2016,03/31/2016,3
U. S. Bank,2/01/2016,04/19/2016,5/12/2016,5
New England Biolabs (NEB),2/01/2016,12/31/2016,02/17/2017,203
"Century, LLC",2/01/2016,12/31/2016,02/19/2017,107
MovieMars.com,2/01/2016,12/31/2016,02/21/2017,53
"Bluemercury, Inc.",2/01/2016,12/31/2016,02/23/2017,69
"Nutrex Hawaii, Inc.",2/01/2016,12/31/2016,02/24/2017,107
Liberty Hardware Manufacturing Corporation,2/01/2016,12/31/2016,02/24/2017,1
Atlantic Cigar Co.,2/01/2016,12/31/2016,02/27/2017,93
Alpha Industries,2/01/2016,12/31/2016,02/27/2017,57
"Theisen's Supply, Inc.",2/01/2016,12/31/2016,3/03/2017,10
West Music Company,2/01/2016,12/31/2016,3/03/2017,267
"Bambeco, Inc.",2/01/2016,12/31/2016,3/06/2017,217
"Atwood Distributing, Inc.",2/01/2016,12/31/2016,3/07/2017,5
"Vapour Organic Beauty, LLC",2/01/2016,12/31/2016,3/08/2017,114
Sport-Smart.com,2/01/2016,12/31/2016,3/08/2017,70
"Running Supply, Inc.",2/01/2016,12/31/2016,3/08/2017,67
R.C. Purdy Chocolates Ltd. dba Purdys Chocolatier,2/01/2016,12/31/2016,3/08/2017,4
Plow & Hearth,2/01/2016,12/31/2016,03/14/2017,345
"Marbles, LLC",2/01/2016,12/31/2016,4/28/2017,282
"Kayser-Roth, Inc.",2/01/2016,12/31/2016,7/03/2017,209
Peachtree Neurological Clinic,2/01/2016,5/31/2017,7/06/2017,13
Piano Works,2/01/2016,12/31/2016,8/24/2017,2
Designers and Planners,2/01/2016,10/16/2017,10/16/2017,1
"Providence (St. Patrick Hospital, Missoula)",01/31/2016,2/10/2016,2/10/2016,1
"Empathia, Inc.",01/30/2016,03/23/2016,6/03/2016,151
Iowa Mutual Insurance Company,01/30/2016,01/30/2017,3/02/2017,1
"Incipio, LLC",01/26/2016,01/26/2016,02/24/2016,29
CertifiKid LLC,01/25/2016,03/19/2016,5/05/2016,2
Kinetics Systems Inc,1/25/2016,1/01/2018,2/06/2018,1
Armstrong Backus & Co. (myPay Solutions),01/24/2016,2/07/2016,03/25/2016,10
Hi-Tec (1) (Magnum Boots),01/24/2016,3/11/2016,04/29/2016,9
Seneca High School,01/22/2016,01/22/2016,2/12/2016,1
Schwaab (DiscountRubberStamps.com),01/22/2016,01/26/2016,4/11/2016,272
Kroger Co.,01/20/2016,04/27/2016,05/25/2016,20
"Front Rush, LLC",01/18/2016,1/08/2020,07/28/2020,163
Humana,01/15/2016,02/21/2018,02/22/2019,9
University of Central Florida,01/15/2016,01/15/2016,2/05/2016,14
HK Financial Services,1/11/2016,1/11/2016,1/22/2016,5
"Motivate International, Inc.",1/08/2016,1/08/2016,1/19/2016,2
FruitfulYield.com; NOW-2-U.com; VitaminExperts.com,1/07/2016,03/21/2016,04/20/2016,15
Eye Institute of Corpus Christi,1/06/2016,1/06/2016,02/26/2016,3
University of Mary Washington,1/05/2016,1/05/2016,2/04/2016,3
Morgan Stanley,1/01/2016,7/10/2020,7/10/2020,"32,370"
Tatcha,1/01/2016,4/30/2017,5/09/2017,11
Fast Health,1/01/2016,3/25/2017,5/26/2017,105
Blink Health Inc.,1/01/2016,1/18/2018,2/05/2018,1
NCH Corporation,1/01/2016,11/30/2018,1/25/2019,8
"Shire Human Genetic Therapies, Inc.",12/30/2015,1/11/2016,2/08/2016,16
Sanctuary Clothing,12/30/2015,03/22/2016,5/03/2016,1
Toyota Motor Credit Corporation (2),12/28/2015,1/04/2016,2/02/2016,3
Neiman Marcus Group (NMG),12/26/2015,4/02/2017,4/17/2017,7
Omni Hotel and Resorts,12/23/2015,06/14/2016,7/08/2016,31
CoPilot Provider Support Services,12/23/2015,12/23/2015,1/18/2017,2
"Richardson & Company, P.C.",12/18/2015,12/18/2015,01/29/2016,1
Boy Scouts of America,12/18/2015,7/05/2017,7/31/2017,1
"Alliance Health Networks, LLC",12/17/2015,12/17/2015,02/15/2016,103
Fairchild Medical Center,12/16/2015,07/31/2020,11/25/2020,43
Baja Bound Insurance Services,12/16/2015,12/16/2015,2/08/2016,3
Grunt Style LLC,12/10/2015,12/10/2015,1/08/2016,1
Thomas Nelson Community College,12/08/2015,12/08/2015,12/18/2015,1
Intuit (3),12/08/2015,12/17/2015,1/15/2016,2
"HSBC Bank, USA",12/07/2015,12/08/2015,01/13/2016,80
Match-Up Solutions,12/07/2015,5/03/2016,05/26/2016,1
Lowcountry Orthopaedics & Sports Medicine,12/03/2015,12/03/2015,2/09/2016,1
St. Vincent Healthcare,12/03/2015,02/16/2016,03/31/2016,29
HEI Hotels & Resorts,12/02/2015,6/12/2016,8/12/2016,Unknown
"Gavilon Grain, LLC",12/01/2015,8/02/2019,08/30/2019,9
"Hyde Park Partners, Inc. (MROStop LLC)",12/01/2015,12/14/2015,1/04/2016,2
"#1 A LifeSafer of Montana, Inc. (LifeSafer)",12/01/2015,1/25/2016,1/26/2016,1
Wendy's,11/30/2015,6/08/2016,7/07/2016,Unknown
HDIS,11/27/2015,11/30/2015,12/28/2015,3
"Livongo Health, Inc.",11/26/2015,11/26/2015,01/14/2016,1
Exterran,11/24/2015,11/24/2015,08/26/2016,9
New West Health Services d/b/a New West Medicare,11/18/2015,11/18/2015,1/15/2016,"25,196"
Precision Resource Company,11/17/2015,11/17/2015,11/30/2015,1
TuneCore,11/17/2015,11/17/2015,12/11/2015,23
"Travel Caddy, Inc. dba Travelon",11/13/2015,6/10/2016,8/04/2016,3
"Seirus Innovative Accessories, Inc.",11/12/2015,11/26/2015,2/05/2016,1
Regional Income Tax Agency,11/10/2015,11/17/2015,12/31/2015,6
"Blucora, Inc. (TaxAct)",11/10/2015,11/10/2015,1/08/2016,1
Matson Navigation and Horizon Lines,11/09/2015,12/07/2015,12/23/2015,43
Superior Labels and Rubberstamps.net,11/03/2015,12/11/2015,02/19/2016,34
TN Marketing,11/01/2015,01/13/2016,02/29/2016,54
OnDeck Capital,11/01/2015,11/30/2015,4/11/2016,5
St. Luke's Cornwall Hospital,10/31/2015,10/31/2015,12/30/2015,1
Oiselle Running Inc.,10/29/2015,11/05/2015,01/29/2016,5
"Centerra Group, LLC (ADP)",10/28/2015,10/28/2015,12/14/2015,1
Cottage Health,10/26/2015,11/08/2015,12/03/2015,1
State Farm (2),10/26/2015,10/26/2015,12/15/2015,2
Brandeis University,10/24/2015,10/25/2015,11/12/2015,3
Intuit (2),10/23/2015,10/23/2015,11/25/2015,1
KontrolFreek,10/21/2015,4/07/2016,06/30/2016,7
KontrolFreek LLC (2),10/21/2015,4/07/2016,08/22/2016,59
Emory Healthcare (University of Arizona College of Medicine),10/18/2015,10/18/2017,12/15/2017,1
Fashion to Figure,10/16/2015,10/16/2015,11/13/2015,3
"Dungarees, LLC",10/15/2015,11/20/2015,12/18/2015,48
"LuckyPet, Inc.",10/15/2015,03/16/2016,04/22/2016,67
Hard Rock Hotel & Casino Las Vegas,10/15/2015,03/21/2016,06/27/2016,Unknown
Intuit (1),10/12/2015,10/20/2015,11/17/2015,36
TaxSlayer,10/10/2015,12/21/2015,01/29/2016,27
Ameriprise Financial (1),10/09/2015,10/09/2015,10/19/2015,1
Schwan's Home Service,10/09/2015,8/01/2016,08/15/2016,135
"Gyft, Inc.",10/03/2015,12/18/2015,2/05/2016,431
21st Century Oncology,10/03/2015,10/03/2015,03/14/2016,264
Springfield Armory,10/03/2015,10/09/2016,11/18/2016,83
Capezio,10/01/2015,11/30/2015,2/10/2016,15
TTI Floor Care North America,10/01/2015,11/30/2015,04/18/2016,1
"Batdorf & Bronson Coffee Roasters (Challain, Inc.)",10/01/2015,04/22/2016,05/17/2016,5
Seattle Chocolates Company,09/29/2015,11/02/2015,11/16/2015,1
New England Calendar and Novelty Company,09/24/2015,09/24/2015,12/10/2015,2
"Kicky Pants, Inc. d/b/a KikKee Pants",9/24/2015,12/26/2015,1/21/2016,17
Schlage Lock Company,09/23/2015,09/23/2015,10/13/2015,1
Stiletto Solutions,09/16/2015,09/16/2015,10/28/2015,6
"OH Muhlenberg, LLC",09/16/2015,09/16/2015,11/13/2015,17
"T-Mobile USA, Inc.",09/15/2015,09/15/2015,10/01/2015,"1,134"
Red Dress Boutique,09/15/2015,09/15/2015,10/05/2015,1
MaineGeneral Medical Center,9/11/2015,9/12/2015,01/15/2016,10
"Salt Lake County, Utah",9/09/2015,9/09/2015,10/09/2015,11
TRS Healthcare,9/05/2015,11/02/2017,12/15/2017,2
Transcontinental Fund (Wolff Co.),9/01/2015,09/30/2015,10/28/2015,1
L4 Digital,9/01/2015,09/30/2015,02/24/2016,1
Nova Southeastern University,9/01/2015,12/12/2018,1/25/2019,8
Dow Corning Corporation,08/31/2015,09/30/2015,10/30/2015,4
Gonzaga University,08/30/2015,08/30/2015,12/18/2015,4
Dow Jones & Company,08/19/2015,08/19/2015,10/09/2015,6
Brunswick Hotel & Tavern,8/12/2015,8/12/2015,08/21/2015,6
Toyota Motor Credit Corporation (1),8/05/2015,8/05/2015,12/11/2015,39
Farm to Feet,8/03/2015,11/18/2015,12/23/2015,5
"JB Autosports, Inc.",8/01/2015,11/09/2015,01/13/2016,11
Hyatt Hotels Corporation,07/30/2015,12/08/2015,01/14/2016,1
Roberts Hawaii,07/15/2015,12/14/2016,02/24/2017,73
"Pro Performance Sports, LLC",7/01/2015,07/27/2016,07/30/2016,1
Combat Brands,7/01/2015,2/23/2017,4/14/2017,132
"Accuform Manufacturing, Inc.",06/30/2015,06/30/2015,10/20/2015,23
GCI,6/30/2015,11/02/2017,11/13/2017,4
Eyebuy Direct,06/16/2015,06/16/2015,10/13/2015,13
State Farm (1),6/08/2015,6/08/2015,06/15/2015,13
"Choice Hotels International, Inc.",6/01/2015,11/22/2019,11/29/2019,455
Integrated Listening Systems,05/18/2015,05/18/2015,11/12/2015,1
"Hain Celestial Group, Inc. (Alba Botanica)",05/16/2015,12/09/2015,01/28/2016,4
Acer Service Corporation,5/12/2015,04/28/2016,6/03/2016,110
"Matador Recordings, LLC d/b/a Matador Direct",04/28/2015,5/04/2016,07/15/2016,21
Beautyblinders,4/23/2015,10/26/2017,1/05/2018,36
Hilton,04/21/2015,07/27/2015,11/24/2015,Unknown
"Strategic Analysis, Inc.",4/20/2015,1/16/2018,4/19/2018,1
American Association for Advancement of Science (Comnet Marketing Group),04/18/2015,01/29/2016,7/08/2016,3
Stanislaus Surgical Hospital,4/05/2015,4/05/2015,5/06/2015,1
Rombauer Vineyards,4/01/2015,04/30/2015,06/16/2015,33
Native Shoes,4/01/2015,6/23/2017,8/16/2017,22
Services Systems Associates,03/24/2015,05/20/2015,10/13/2015,Unknown
Wilderness Hotel and Golf Resort,3/09/2015,6/08/2015,11/20/2015,Unknown
"Charles Komar & Sons, Inc.",3/01/2015,12/01/2016,01/26/2017,77
Noble House Hotels and Resorts (1),01/28/2015,8/03/2015,10/22/2015,22
"Bombas, LLC",1/15/2015,2/09/2015,5/18/2018,90
American Councils for International Education (Al-Farabi Kazakh National University),1/01/2015,1/01/2019,1/23/2019,1
Noble House Hotel and Resorts (2),12/29/2014,8/11/2015,11/13/2015,165
Navy Federal Credit Union,12/01/2014,12/31/2016,10/06/2017,2
Hilton,11/18/2014,12/05/2014,11/24/2015,Unknown
Hi-Tec (2) (Magnum Boots),09/22/2014,01/23/2016,5/11/2016,104
Village People,9/04/2014,8/23/2018,9/25/2018,1
Rosen Hotels & Resorts,9/02/2014,02/18/2016,3/04/2016,9
YAHOO,9/01/2014,10/01/2014,09/22/2016,Unknown
Asante Health System,08/18/2014,07/21/2016,9/09/2016,3
Ontario Inc. (www.1800flowers.ca),8/15/2014,9/15/2018,11/30/2018,19
"CoastAlaska, Inc. (KTOO)",7/01/2014,2/12/2021,3/10/2021,2
Online Traffic Schools,6/20/2014,7/26/2017,10/04/2017,85
Asante Health System,06/14/2014,10/22/2016,12/09/2016,1
Uber,05/13/2014,05/13/2014,06/15/2016,1
"Landry's, Inc. (Golden Nugget Atlantic City, LLC)",5/04/2014,12/03/2015,02/29/2016,27
Jefferson Medical Associates (JMA),03/25/2014,6/01/2016,06/28/2016,1
MEI-GSR (Grand Sierra Resort),02/14/2014,8/05/2015,6/06/2016,111
Coincafe,1/14/2014,9/29/2017,10/18/2017,2
"TIO Networks USA (Bank of America, PageOnce)",1/01/2014,11/10/2017,12/12/2017,275
TIO,1/01/2014,11/10/2017,10/23/2018,3
Marriott International (Starwood),1/01/2014,11/19/2018,11/30/2018,Unknown
Zest Dental Solution,12/31/2013,2/04/2017,03/14/2017,27
Town of Concord,10/01/2013,Ongoing,9/16/2021,3
Transtar Industries Inc.,undetermined,1/09/2021,8/04/2021,3
Camps Bernadette and Fatima,06/21/2021,06/21/2021,07/23/2021,1
"Forest City Trade Group, LLC",06/21/2021,06/24/2021,07/20/2021,2
"Beachlawn, Inc.",06/14/2021,07/072021,8/03/2021,3
Davaco LP,6/11/2021,6/11/2021,7/02/2021,29
Enfield enterprises Inc.,6/06/2021,6/06/2021,07/15/2021,1
"Cradle of Hope Adoption Center, Inc.",6/04/2021,6/04/2021,07/28/2021,4
Transformco,6/03/2021,06/15/2021,07/26/2021,
"Savage and Associates, Inc. and Royal Alliance Associates, Inc.",6/03/2021,6/03/2021,7/02/2021,2
"Transamerica Retirement Solutions, LLC",6/01/2021,06/14/2021,8/04/2021,4
Mandere Construction & Northwest Building Components,6/01/2021,6/07/2021,07/30/2021,29
"Forefront Management, LLC and Forefront Dermatology, S.C.",05/28/2021,6/04/2021,7/08/2021,7518
MediLynx Arrhythmia Diagnostics,05/25/2021,05/25/2021,07/16/2021,3
WSSC Water,05/24/2021,05/24/2021,07/26/2021,Still under investigation
Carpenter Co.,05/24/2021,05/24/2021,07/27/2021,4
UnitedHealthcare,05/24/2021,6/03/2021,07/14/2021,1
"Aspiration Financial, LLC",05/20/2021,6/03/2021,6/07/2021,29
D&K Engineering,05/19/2021,05/19/2021,07/27/2021,1
Ameriprise Financial Services,05/18/2021,05/18/2021,07/15/2021,10
Southern Eagle Distributing Inc.,05/18/2021,05/18/2021,06/29/2021,4
"Maximus, Inc.",05/17/2021,05/19/2021,06/18/2021,518
"Plano-Coudon, LLC",05/15/2021,06/14/2021,7/12/2021,1
Coastal Family Health Center,05/13/2021,05/13/2021,7/06/2021,4
Clover Park School District,5/12/2021,05/26/2021,7/12/2021,4
"Divvy Up, Inc.",5/10/2021,06/18/2021,07/30/2021,92
"J.J. Keller & Associates, Inc.",5/10/2021,5/10/2021,7/07/2021,4
Florida Heart Associates,5/09/2021,05/19/2021,07/13/2021,5
NorthWest Congenital Heart Care,5/07/2021,5/07/2021,6/04/2021,1
United Services Automobile Association,5/06/2021,5/06/2021,6/03/2021,2
"Wells Fargo Clearing Services, LLC",5/05/2021,5/05/2021,05/26/2021,1
"Alvin J. Coleman & Son, Inc.",5/03/2021,5/07/2021,07/21/2021,1
COLTONTEL,5/01/2021,5/10/2021,07/19/2021,2
Star Refining,04/29/2021,04/29/2021,07/22/2021,5
Weiss & Company,04/27/2021,04/28/2021,06/18/2021,1
Ankle and Foot Physicians and Surgeons PLLC,04/26/2021,04/26/2021,06/28/2021,1
"Brennntag North America, Inc.",04/26/2021,05/27/2021,06/25/2021,3
"Carolina Eastern, Inc.",04/23/2021,04/23/2021,07/27/2021,2
"PayNorthwest, LLC",04/23/2021,04/23/2021,04/30/2021,3
Marsh McLennan,04/22/2021,04/30/2021,06/30/2021,256
Amagen Inc.,04/21/2021,05/14/2021,06/22/2021,178
Invenergy LLC,04/21/2021,05/17/2021,06/15/2021,13
Vista Title and Escrow,04/21/2021,04/30/2021,06/18/2021,1
American Councils for International Education,04/21/2021,04/28/2021,6/01/2021,19
"FloWorks International, LLC",04/18/2021,04/18/2021,05/13/2021,15
"Lightfoot, Franklin & White, LLC",04/17/2021,04/17/2021,06/16/2021,17
SJ Associates,04/15/2021,6/01/2021,8/03/2021,1
"Secure Administrative Solutions, LLC",04/15/2021,04/15/2021,07/23/2021,2
"Charles E Jones, DDS PC d/b/a Jones Family Dental",04/15/2021,04/18/2021,07/15/2021,9
"Warren Resources, Inc.",04/14/2021,04/17/2021,6/09/2021,34
"Samson Exploration, LLC",04/13/2021,04/15/2021,05/27/2021,1
"BTU International, Inc.",4/12/2021,4/12/2021,07/13/2021,1
Braman Management Association,4/12/2021,4/12/2021,06/28/2021,1
"Summit Accounting & Tax, LLC",4/12/2021,4/12/2021,5/12/2021,71
"Reproductive Biology Associates, LLC (“RBA”) and My Egg Bank North America, LLC (“MEB”)",4/07/2021,4/10/2021,06/15/2021,20
Herff Jones LLC,4/07/2021,4/07/2021,06/15/2021,2184
"AireSpring, Inc.",4/07/2021,4/07/2021,6/10/2021,10
Glacier Medical Associates,4/07/2021,4/07/2021,6/03/2021,2732
"Haworth & Company, Ltd",4/06/2021,04/26/2021,07/30/2021,2
Intermountain Healthcare,4/06/2021,04/20/2021,07/16/2021,9
Mevion Medical Systems,03/28/2021,03/29/2021,06/17/2021,1
Zane State College,03/25/2021,03/29/2021,06/22/2021,6
NewSquare,03/25/2021,03/25/2021,6/09/2021,2
"Handi Quilter, Inc.",03/24/2021,04/29/2021,06/29/2021,48
"Villanova Insurance Partners and Elite MCA, LLC",03/24/2021,03/24/2021,6/07/2021,4
Guidehouse,03/23/2021,03/23/2021,07/29/2021,1
Supplemental Income 401 (k) Plan,03/22/2021,04/21/2021,6/04/2021,145
ASAP Semiconductor LLC,03/20/2021,03/20/2021,06/30/2021,3
Curbell Inc.,03/18/2021,03/31/2021,07/28/2021,1
People Community Health Clinic,03/18/2021,02/22/2021,06/29/2021,5
Arcadia University,03/15/2021,03/18/2021,8/04/2021,3
TEP Holdings LLC,03/15/2021,03/15/2021,06/28/2021,3
"Hoya Optical labs of America, Inc.",03/15/2021,4/05/2021,6/11/2021,1
"DiCon Fiberoptics, Inc.",03/14/2021,03/14/2021,6/03/2021,2
"Lindell & Associates, PC",3/12/2021,4/09/2021,07/21/2021,185
"CSI Financial Services, LLC",3/08/2021,04/26/2021,7/09/2021,832
"Transplace Holdings, Inc.",3/07/2021,3/07/2021,6/08/2021,2
CNA Financial Corporation,3/05/2021,03/21/2021,7/09/2021,74
UnitedHealthcare Privacy Office,3/05/2021,3/12/2021,5/07/2021,1
NCH Corporation,3/02/2021,3/05/2021,07/29/2021,36
Asarco LLC,3/01/2021,3/01/2021,07/16/2021,576
UniBank,3/01/2021,05/28/2021,7/07/2021,4
"The Dovel Group, LLC",3/01/2021,05/24/2021,06/22/2021,27
"DATAMARK, Inc.",3/01/2021,3/06/2021,6/04/2021,1
HMT LLC,02/28/2021,02/28/2021,06/22/2021,2
Paxton Media Group,02/26/2021,03/30/2021,07/28/2021,6
Sitzberger & Company,02/24/2021,3/06/2021,7/01/2021,4
City of Osceola,02/24/2021,03/17/2021,6/03/2021,1
Fairway Independent Mortgage Corporation,02/23/2021,4/07/2021,6/04/2021,25
"Resort Data Processing, Inc.",02/22/2021,06/14/2021,07/27/2021,37
"Resort Data Processing, Inc.",02/22/2021,06/14/2021,07/23/2021,37
"Resort Data Processing, Inc.",02/22/2021,06/14/2021,07/23/2021,37
The Food Group (TFG),02/20/2021,6/07/2021,07/29/2021,1
MASS Design Group,02/19/2021,05/20/2021,07/21/2021,2
"Fluid Motion, LLC",02/18/2021,6/08/2021,07/29/2021,1
Municipality of Anchorage,02/18/2021,02/18/2021,6/04/2021,1
Osborn Cancer Care,02/17/2021,02/17/2021,07/26/2021,6
Bank-Fund Staff Federal Credit Union,02/16/2021,3/04/2021,6/07/2021,1
Wilbraham & Monson Academy (WMA),02/15/2021,02/16/2021,07/29/2021,1
"Schwarz Partners, L.P.",2/12/2021,2/12/2021,07/19/2021,1
Sturdy Memorial Hospital,2/09/2021,2/09/2021,05/28/2021,3
Ascension Health,2/06/2021,2/06/2021,5/05/2021,1
Royal Caribbean Group,2/06/2021,02/18/2021,06/22/2021,24
"Tuff Shed, Inc.",2/03/2021,2/10/2021,8/03/2021,22
Spirit of Texas Bank,2/03/2021,2/03/2021,05/26/2021,3
Cooks Direct,01/31/2021,01/31/2021,07/16/2021,3
Maine Drilling and Blasting,01/29/2021,01/29/2021,7/06/2021,1
Honor Credit Union,01/29/2021,01/29/2021,06/25/2021,1
National Inventors Hall of Fame,01/27/2021,2/03/2021,5/03/2021,3
"Martin Energy Group Services, LLC",01/25/2021,01/25/2021,06/25/2021,1
Standley Systems,01/25/2021,2/10/2021,6/10/2021,2
Cohen Milstein Sellers & Toll PLLC,01/23/2021,01/23/2021,07/15/2021,679
Alderson Broaddus University,01/22/2021,01/27/2021,6/10/2021,14
Stanford School of Medicine,01/21/2021,03/29/2021,06/25/2021,7
Stanford School of Medicine,01/21/2021,03/29/2021,06/25/2021,7
"USA Waste-Management Resources, LLC",01/21/2021,01/23/2021,05/28/2021,195
Guidehouse,01/20/2021,01/20/2021,06/25/2021,2
"Midland Credit Management, Inc.",01/18/2021,01/18/2021,02/17/2021,1
Nevada Restaurant Services Inc.,01/16/2021,01/16/2021,7/01/2021,754
"UnitedHealthcare (20/20 Eye Care Network, Inc)",1/11/2021,01/15/2021,7/02/2021,84
"Eye Care Network, Inc.",1/11/2021,1/11/2021,05/28/2021,102
Western Michigan University Homer Stryker M.D. School of Medicine,1/11/2021,01/21/2021,05/27/2021,3
Freund Freeze & Arnold,1/05/2021,01/25/2021,06/29/2021,1
Clark Equipment Company d/b/a Doosan Bobcat North America,1/03/2021,01/22/2021,6/07/2021,35
